#,name,description,origin,model,tags,explainer post,notes
27,decision-latency,Shows how tracking decision latency helps the schedule,ChatGPT,agent,"decision, schedule, risk, approvals",,
28,stakeholder-mapper,,ChatGPT,agent,stakeholder,,
29,eisenhower-matrix,,ChatGPT,agent,prioritisation,,
30,weighted-decision-matrix,,ChatGPT,agent,decision,,
31,hazard_morphospace,a dashboard for the Magnox Swarf Storage Silo,ChatGPT,agent,"reporting, controls, trade_offs",,
32,service_trident,"Distinguishing between capability, maturity and performance in project consulting",ChatGPT,GPT5,"consulting, use_cases, project_management, classification_tree ",,
34,Project_Data_standard_example,Project Data Standard explainer and validation playground,ChatGPT,GPT5,"data_quality, project_data, visualization",,
35,date-defence-kit,"Plan and defend delivery dates with Monte Carlo simulations, criticality insights, and narrative outputs.",User,GPT5,"risk, schedule, monte_carlo, simulation",,
33,WBS_rewrite,Interactive demo for rewriting WBS dependency graphs with CPM and resource leveling,ChatGPT,agent,"project_management, scheduling, graph",,
36,SMR_governance_simulator,"a playable governance simulatora sandbox where players navigate ONR design?assessment loops, financing triggers (RAB/GBE?N), and local engagement to reach Final Investment Decision and first power.",ChatGPT,GPT5.1_Pro,"governance, design, simulator, gates",,
37,pm_causal_playground,"PM causal DAG playground for back-door paths, colliders, and adjustment sets",ChatGPT,GPT5,"causal, visualization, project_management, education",,
38,white_space_analysis,Capability scorecard and whitespace map for digital transformation delivery,ChatGPT,GPT-5.2-Codex,"capabilities, whitespace, visualization, d3, strategy",,

39,advanced_project_planning_ideas,"Interactive sandbox exploring counterfactual planning, proof-carrying plans, coordination mechanisms, topology, and meta-planners.",ChatGPT,GPT-5.2-Codex,"project_management, planning, governance, education",,
40,project_viability_state_space_navigator_plus,"State-space navigator for project viability, safe-to-fail probes, and walk-based diagnostics.",ChatGPT,GPT-5.2-Codex,"viability, systems, simulation, visualization",,
41,scenario_barrier_proof_fca_lattice,"Scenario × barrier × proof FCA lattice for causal coverage and gap analysis.",ChatGPT,GPT-5.2-Codex,"risk, fca, lattice, visualization, safety",,
42,critical-path-spotter,"Critical path spotter for project schedules with dependency delays.",ChatGPT,GPT-5.2-Codex,"project_management, scheduling, critical_path, visualization",,
43,project_time_exchange,"Project Time Exchange app for CPM crash menus, budget frontiers, and VCG-style optimization.",ChatGPT,GPT-5.2-Codex,"project_management, scheduling, optimization, visualization",,
44,counterfactual_programme_steering,"Interactive counterfactual program steering dashboard with SCM-based policy simulation and influence diagram explainers.",ChatGPT,GPT-5.2-Codex,"causal, simulation, decision_support, visualization",,
45,intent_field_navigator,"CSV-first intent field navigator for alignment, coverage, entropy, and nudges.",ChatGPT,GPT-5.2-Codex,"intent, alignment, csv, analytics, visualization",,
